"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 09 10:06:47 CST 2021","Fri Apr 09 10:06:48 CST 2021","1417","","test_login","Test_login","","","# 登录场景测试","正确账号、密码"
"skipped","Fri Apr 09 10:07:28 CST 2021","Fri Apr 09 10:07:28 CST 2021","0","","test_login","Test_login","","","# 密码为空","密码为空"
"skipped","Fri Apr 09 10:07:28 CST 2021","Fri Apr 09 10:07:28 CST 2021","0","","test_login","Test_login","","","# 错误的账号","错误的账号"
"passed","Fri Apr 09 10:07:04 CST 2021","Fri Apr 09 10:07:06 CST 2021","1378","","test_login","Test_login","","","# 登录场景测试","正确账号、密码"
"passed","Fri Apr 09 10:06:26 CST 2021","Fri Apr 09 10:06:27 CST 2021","1408","","test_login","Test_login","","","# 登录场景测试","正确账号、密码"
"passed","Fri Apr 09 10:06:55 CST 2021","Fri Apr 09 10:06:57 CST 2021","1407","","test_login","Test_login","","","# 登录场景测试","正确账号、密码"
"skipped","Fri Apr 09 10:07:28 CST 2021","Fri Apr 09 10:07:28 CST 2021","0","","test_login","Test_login","","","# 用例执行失败","密码为空"
"skipped","Fri Apr 09 10:07:28 CST 2021","Fri Apr 09 10:07:28 CST 2021","0","","test_login","Test_login","","","# 错误的密码","错误的密码"
"skipped","Fri Apr 09 10:07:28 CST 2021","Fri Apr 09 10:07:28 CST 2021","0","","test_login","Test_login","","","# 账号为空","账号为空"
"passed","Fri Apr 09 10:07:25 CST 2021","Fri Apr 09 10:07:26 CST 2021","1376","","test_login","Test_login","","","# 登录场景测试","正确账号、密码"
