"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 08 10:46:31 CST 2021","Thu Apr 08 10:46:31 CST 2021","0","","test_login","Test_login","","","# 错误的账号","错误的账号"
"passed","Thu Apr 08 10:45:58 CST 2021","Thu Apr 08 10:46:00 CST 2021","1410","","test_login","Test_login","","","# 正确账号、密码","正确账号、密码"
"skipped","Thu Apr 08 10:46:31 CST 2021","Thu Apr 08 10:46:31 CST 2021","0","","test_login","Test_login","","","# 错误的密码","错误的密码"
"passed","Thu Apr 08 10:46:19 CST 2021","Thu Apr 08 10:46:20 CST 2021","1377","","test_login","Test_login","","","# 正确账号、密码","正确账号、密码"
"passed","Thu Apr 08 10:45:29 CST 2021","Thu Apr 08 10:45:31 CST 2021","2136","","test_login","Test_login","","","# 正确账号、密码","正确账号、密码"
"skipped","Thu Apr 08 10:46:31 CST 2021","Thu Apr 08 10:46:31 CST 2021","0","","test_login","Test_login","","","# 用例执行失败","密码为空"
"skipped","Thu Apr 08 10:46:31 CST 2021","Thu Apr 08 10:46:31 CST 2021","0","","test_login","Test_login","","","# 密码为空","密码为空"
"skipped","Thu Apr 08 10:46:31 CST 2021","Thu Apr 08 10:46:31 CST 2021","0","","test_login","Test_login","","","# 账号为空","账号为空"
"passed","Thu Apr 08 10:46:27 CST 2021","Thu Apr 08 10:46:29 CST 2021","1381","","test_login","Test_login","","","# 正确账号、密码","正确账号、密码"
"passed","Thu Apr 08 10:45:38 CST 2021","Thu Apr 08 10:45:39 CST 2021","1391","","test_login","Test_login","","","# 正确账号、密码","正确账号、密码"
